,pick_count,pick_rate,ban_count,ban_rate,presence_count,presence_rate
Yunara,26210,0.2573569121098161,33129,0.32529481653132764,59339,0.5826517286411437
Pyke,6093,0.05982738136150742,31444,0.3087497422503265,37537,0.3685771236118339
Zed,10082,0.09899551270092201,26417,0.2593894523924079,36499,0.35838496509332995
Draven,5199,0.05104916390915429,30183,0.296367938886325,35382,0.3474171027954793
Yasuo,10466,0.10276602221065759,22811,0.2239820115275473,33277,0.3267480337382049
Shaco,6179,0.06067181838712528,26823,0.26337598067613877,33002,0.32404779906326403
Mel,7572,0.07434973439509834,25078,0.24624176428424144,32650,0.3205914986793398
Lulu,12729,0.1249864988266253,16781,0.16477322938248087,29510,0.28975972820910617
Pantheon,11095,0.1089421953398859,16439,0.16141511935037264,27534,0.27035731469025853
Belveth,3876,0.038058580363893445,22166,0.21764873383541333,26042,0.25570731419930676
Nautilus,11204,0.11001247017468063,14150,0.13893934781968323,25354,0.24895181799436386
Viego,13137,0.12899266518071933,11526,0.11317419950315682,24663,0.24216686468387616
Sylas,11155,0.10953133745078208,12423,0.12198187406105476,23578,0.23151321151183685
Gwen,7303,0.07170841393124712,14802,0.14534135875808843,22105,0.21704977268933554
Jax,8446,0.08293157114381941,13592,0.13346032618834874,22038,0.21639189733216815
Lucian,11634,0.11423465530276995,10374,0.1018626709739501,22008,0.21609732627672004
Blitzcrank,4607,0.04523629508164528,16752,0.1644884773622144,21359,0.20972477244385967
Caitlyn,9432,0.09261313983288003,10805,0.10609467513722101,20237,0.19870781497010104
Leblanc,4498,0.04416602024685055,15429,0.15149789381695355,19927,0.1956639140638041
Fiora,5714,0.05610596702767986,13650,0.1340298302288817,19364,0.19013579725656157
Nocturne,6731,0.06609192580737017,12625,0.12396531916773858,19356,0.19005724497510876
Vladimir,7497,0.0736133067564781,11632,0.11421501723240675,19129,0.18782832398888485
Ambessa,7286,0.07154149033315986,11307,0.11102383079838575,18593,0.1825653211315456
Kayn,7429,0.0729456123641291,11090,0.1088931001639779,18519,0.181838712528107
DrMundo,6969,0.06842885618059169,11412,0.11205482949245407,18381,0.18048368567304576
Aatrox,8555,0.08400184597861414,9818,0.0964032874129788,18373,0.18040513339159295
Nami,15259,0.14982865783608101,3092,0.030360456781516647,18351,0.18018911461759768
Sivir,10639,0.1044647152970749,7617,0.07479159097827047,18256,0.1792563062753454
Akali,7588,0.07450683895800399,10545,0.10354172599000422,18133,0.17804856494800822
MasterYi,5284,0.051883781899590545,12683,0.12453482320827156,17967,0.17641860510786211
Irelia,6822,0.06698545800889605,11020,0.10820576770126568,17842,0.1751912257101617
Volibear,9635,0.09460640397474544,8189,0.08040807910214742,17824,0.17501448307689285
Braum,6971,0.0684484942509549,10448,0.10258927957738873,17419,0.17103777382834362
Kindred,4848,0.04760268256041161,12322,0.12099015150771285,17170,0.16859283406812448
Tristana,8345,0.0819398485904775,8589,0.08433569317478865,16934,0.16627554176526615
JarvanIV,10719,0.10525023811160315,6210,0.06097620847775498,16929,0.16622644658935812
Trundle,8399,0.08247007649028407,8349,0.08197912473120392,16748,0.16444920122148798
Twitch,7567,0.07430063921919032,8976,0.08813565979006903,16543,0.16243629900925935
Darius,5733,0.05629252869613032,10530,0.10339444046228018,16263,0.1596869691584105
Ekko,10044,0.0986223893640211,6011,0.05902222047661597,16055,0.15764460984063705
